City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salaga,GH,8.5508,-0.5188,80.42,74,93,5.99,overcast clouds
1,Gizo,SB,-8.103,156.8419,83.8,68,17,4.76,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,8.05,clear sky
3,Rikitea,PF,-23.1203,-134.9692,77.13,71,33,18.75,scattered clouds
4,Shasta Lake,US,40.6804,-122.3708,88.52,37,96,7.02,overcast clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,75,75,4.61,broken clouds
6,Jamestown,US,42.097,-79.2353,64.02,69,31,1.99,scattered clouds
7,Luderitz,NA,-26.6481,15.1594,71.58,27,24,8.25,few clouds
8,Castro,BR,-24.7911,-50.0119,52.63,98,8,4.76,clear sky
9,Bredasdorp,ZA,-34.5322,20.0403,53.51,77,0,4.45,clear sky
10,Ushuaia,AR,-54.8,-68.3,51.46,43,0,0.0,clear sky
11,Upernavik,GL,72.7868,-56.1549,8.1,92,34,6.62,scattered clouds
12,Richards Bay,ZA,-28.783,32.0377,65.34,86,59,2.51,broken clouds
13,Lasa,IT,46.6166,10.7002,61.68,90,96,1.88,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,57.47,60,4,2.8,clear sky
15,Thompson,CA,55.7435,-97.8558,35.76,93,100,10.36,light intensity drizzle
16,Kununurra,AU,-15.7667,128.7333,89.58,51,0,5.75,clear sky
17,Barrow,US,71.2906,-156.7887,33.82,80,100,6.91,overcast clouds
18,Bluff,NZ,-46.6,168.3333,57.79,64,11,7.67,few clouds
19,Yeppoon,AU,-23.1333,150.7333,78.58,75,25,8.37,scattered clouds
20,Atar,MR,20.5169,-13.0499,88.7,17,100,9.33,overcast clouds
21,Hobart,AU,-42.8794,147.3294,53.26,71,75,17.27,broken clouds
22,Lingao,CN,19.9103,109.6859,71.29,93,100,14.36,overcast clouds
23,Georgetown,MY,5.4112,100.3354,80.53,93,20,7.0,few clouds
24,Avarua,CK,-21.2078,-159.775,78.85,65,75,3.44,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,61.81,82,0,8.55,clear sky
26,Cockburn Town,TC,21.4612,-71.1419,78.89,83,100,20.94,overcast clouds
27,Guerrero Negro,MX,27.9769,-114.0611,64.47,75,71,16.33,broken clouds
